Mã Lớp,Học Kỳ,Mã Môn,Tên Môn Học
D24CQMR01-N,HK2 (2024-2025),BAS1157,Tiếng Anh (Course 1)
D24CQMR01-N,HK1 (2025-2026),BAS1158,Tiếng Anh (Course 2)
D24CQMR01-N,HK2 (2024-2025),INT1156,Tin học cơ sở 3
D24CQMR01-N,HK2 (2024-2025),BAS1220,Toán cao cấp 2
D24CQMR01-N,HK2 (2024-2025),BSA1241,Toán kinh tế
D24CQPT01-N,HK2 (2024-2025),BAS1107,Giáo dục thể chất 2
D24CQPT01-N,HK1 (2025-2026),SKD1101,Kỹ năng thuyết trình
D24CQPT01-N,HK2 (2024-2025),MUL13122,Kỹ thuật nhiếp ảnh
D24CQPT01-N,HK2 (2024-2025),MUL1314,Kỹ thuật quay phim
D24CQPT01-N,HK2 (2024-2025),MUL13149,Mỹ thuật cơ bản
D24CQPT01-N,HK1 (2025-2026),INT1339,Ngôn ngữ lập trình C++
D24CQPT01-N,HK2 (2024-2025),INT1339,Ngôn ngữ lập trình C++
D24CQPT01-N,HK2 (2024-2025),MUL13150,Thiết kế đồ họa
D24CQPT01-N,HK2 (2024-2025),MUL14134,Thiết kế hình động 1
D24CQPT01-N,HK2 (2024-2025),BAS1157,Tiếng Anh (Course 1)
D24CQPT01-N,HK1 (2025-2026),BAS1158,Tiếng Anh (Course 2)
D24CQPT01-N,HK2 (2024-2025),INT1155,Tin học cơ sở 2
D24CQPT01-N,HK2 (2024-2025),BAS1220,Toán cao cấp 2
D24CQPT01-N,HK2 (2024-2025),INT1358,Toán rời rạc 1
D24CQPT01-N,HK2 (2024-2025),BAS1226,Xác suất thống kê
D24CQPT02-N,HK1 (2025-2026),BAS1152,Chủ nghĩa xã hội khoa học
D24CQPT02-N,HK2 (2024-2025),BAS1107,Giáo dục thể chất 2
D24CQPT02-N,HK2 (2024-2025),BAS1151,Kinh tế chính trị Mác - Lênin
D24CQPT02-N,HK1 (2025-2026),SKD1101,Kỹ năng thuyết trình
D24CQPT02-N,HK2 (2024-2025),MUL13122,Kỹ thuật nhiếp ảnh
D24CQPT02-N,HK2 (2024-2025),MUL1314,Kỹ thuật quay phim
D24CQPT02-N,HK2 (2024-2025),MUL13149,Mỹ thuật cơ bản
D24CQPT02-N,HK1 (2025-2026),INT1339,Ngôn ngữ lập trình C++
D24CQPT02-N,HK2 (2024-2025),INT1339,Ngôn ngữ lập trình C++
D24CQPT02-N,HK1 (2025-2026),MUL13152,Thiết kế Web cơ bản
D24CQPT02-N,HK2 (2024-2025),MUL13150,Thiết kế đồ họa
D24CQPT02-N,HK2 (2024-2025),MUL14134,Thiết kế hình động 1
D24CQPT02-N,HK2 (2024-2025),BAS1157,Tiếng Anh (Course 1)
D24CQPT02-N,HK1 (2025-2026),BAS1158,Tiếng Anh (Course 2)
D24CQPT02-N,HK2 (2024-2025),INT1155,Tin học cơ sở 2
D24CQPT02-N,HK2 (2024-2025),BAS1220,Toán cao cấp 2
D24CQPT02-N,HK2 (2024-2025),INT1358,Toán rời rạc 1
D24CQPT02-N,HK2 (2024-2025),BAS1226,Xác suất thống kê
D24CQQT01-N,HK1 (2025-2026),BAS1152,Chủ nghĩa xã hội khoa học
D24CQQT01-N,HK2 (2024-2025),BAS1107,Giáo dục thể chất 2
D24CQQT01-N,HK2 (2024-2025),BSA1310,Kinh tế vi mô 1
D24CQQT01-N,HK2 (2024-2025),BSA1311,Kinh tế vĩ mô 1
D24CQQT01-N,HK2 (2024-2025),BAS1151,Kinh tế chính trị Mác - Lênin
D24CQQT01-N,HK1 (2025-2026),BAS1109,Lịch sử các học thuyết kinh tế
D24CQQT01-N,HK2 (2024-2025),BAS1210,Lý thuyết xác suất và thống kê
D24CQQT01-N,HK1 (2025-2026),SKD1101,Kỹ năng thuyết trình
D24CQQT01-N,HK2 (2024-2025),BSA1328,Quản trị học
D24CQQT01-N,HK2 (2024-2025),BAS1157,Tiếng Anh (Course 1)
D24CQQT01-N,HK1 (2025-2026),BAS1158,Tiếng Anh (Course 2)
D24CQQT01-N,HK2 (2024-2025),INT1156,Tin học cơ sở 3
D24CQQT01-N,HK2 (2024-2025),BAS1220,Toán cao cấp 2
D24CQQT01-N,HK2 (2024-2025),BSA1241,Toán kinh tế
D24CQVT01-N,HK1 (2025-2026),BAS1152,Chủ nghĩa xã hội khoa học
D24CQVT01-N,HK2 (2024-2025),BAS1107,Giáo dục thể chất 2
D24CQVT01-N,HK2 (2024-2025),BAS1204,Giải tích 2
D24CQVT01-N,HK1 (2025-2026),SKD1101,Kỹ năng thuyết trình
D24CQVT01-N,HK2 (2024-2025),BAS1151,Kinh tế chính trị Mác - Lênin
D24CQVT01-N,HK2 (2024-2025),BAS1157,Tiếng Anh (Course 1)
D24CQVT01-N,HK1 (2025-2026),BAS1158,Tiếng Anh (Course 2)
D24CQVT01-N,HK2 (2024-2025),TEL1368,Tín hiệu và hệ thống
D24CQVT01-N,HK2 (2024-2025),INT1155,Tin học cơ sở 2
D24CQVT01-N,HK2 (2024-2025),BAS1224,Vật lý 1 và thí nghiệm
D24CQVT01-N,HK2 (2024-2025),BAS1225,Vật lý 2 và thí nghiệm
D24CQVT01-N,HK2 (2024-2025),BAS1226,Xác suất thống kê
